file,line,label,pattern,snippet
autodense/pom.xml,20,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<url>https://maven.scijava.org/content/groups/public</url>
autodense/plugin/src/main/java/autodense/agarose/AgaroseOps.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.IJ;
autodense/plugin/src/main/java/autodense/agarose/AgaroseOps.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/autodense/agarose/AgaroseOps.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/autodense/agarose/AgaroseOps.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Roi;
autodense/plugin/src/main/java/autodense/agarose/AgaroseOps.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ImageProcessor;
autodense/plugin/src/main/java/autodense/color/HsvOps.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.process.ColorProcessor;
autodense/plugin/src/main/java/autodense/sds/FluorescenceOps.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/autodense/sds/FluorescenceOps.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Line;
autodense/plugin/src/main/java/autodense/sds/FluorescenceOps.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/autodense/sds/FluorescenceOps.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Roi;
autodense/plugin/src/main/java/autodense/sds/FluorescenceOps.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.measure.Measurements;
autodense/plugin/src/main/java/autodense/sds/SdsCalib.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.IJ;
autodense/plugin/src/main/java/autodense/sds/SdsCalib.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/autodense/sds/SdsCalib.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/autodense/sds/SdsCalib.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Roi;
autodense/plugin/src/main/java/autodense/sds/SdsCalib.java,8,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.TextRoi;
autodense/plugin/src/main/java/autodense/sds/SdsOps.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/autodense/sds/SdsOps.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Line;
autodense/plugin/src/main/java/autodense/sds/SdsOps.java,5,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
autodense/plugin/src/main/java/autodense/sds/SdsOps.java,6,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Roi;
autodense/plugin/src/main/java/autodense/sds/SdsOps.java,7,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.measure.Measurements;
autodense/plugin/src/main/java/autodense/util/OverlayExporter.java,3,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.ImagePlus;
autodense/plugin/src/main/java/autodense/util/OverlayExporter.java,4,Java 'ij.*' package usage,\bij\.[A-Za-z_],import ij.gui.Overlay;
